회차,측정시각,검색어,검색반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,14:53:24,디자이너,1.7658,,,,
2,14:53:31,디자이너,1.558,,,,
3,14:53:37,디자이너,1.3818,,,,
4,14:53:44,디자이너,1.3795,,,,
5,14:53:50,디자이너,1.4491,,,,
6,14:53:56,디자이너,1.4701,,,,
7,14:54:02,디자이너,1.3948,,,,
8,14:54:08,디자이너,1.5004,,,,
9,14:54:14,디자이너,1.4631,,,,
10,14:54:20,디자이너,1.4929,,,,
요약,,,,1.4856,1.3795,1.7658,0.1137
