회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 13:57:34,0.2238,,,,
2,성공,2025-12-16 13:58:19,0.2188,,,,
3,성공,2025-12-16 13:59:04,0.2084,,,,
4,성공,2025-12-16 13:59:49,0.2040,,,,
5,성공,2025-12-16 14:00:46,0.2102,,,,
6,성공,2025-12-16 14:01:29,0.2043,,,,
7,성공,2025-12-16 14:02:23,0.2065,,,,
8,성공,2025-12-16 14:03:13,0.2091,,,,
9,성공,2025-12-16 14:04:00,0.2365,,,,
10,성공,2025-12-16 14:04:43,0.2095,,,,
통계,,,,0.2131,0.2040,0.2365,0.0098
