회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 14:06:22,0.3757,,,,
2,성공,2025-12-16 14:07:15,0.2553,,,,
3,성공,2025-12-16 14:08:09,0.2205,,,,
4,성공,2025-12-16 14:09:05,0.2366,,,,
5,성공,2025-12-16 14:10:01,0.2378,,,,
6,성공,2025-12-16 14:10:55,0.2589,,,,
7,성공,2025-12-16 14:11:50,0.2330,,,,
8,성공,2025-12-16 14:12:47,0.2510,,,,
9,성공,2025-12-16 14:13:46,0.2289,,,,
10,성공,2025-12-16 14:14:40,0.2450,,,,
통계,,,,0.2543,0.2205,0.3757,0.0421
