회차,측정시각,검색어,검색반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,14:49:33,여권,0.8932,,,,
2,14:49:37,여권,0.9003,,,,
3,14:49:41,여권,0.9019,,,,
4,14:49:44,여권,0.8958,,,,
5,14:49:48,여권,0.8942,,,,
6,14:49:52,여권,0.9006,,,,
7,14:49:56,여권,0.8964,,,,
8,14:49:59,여권,0.8881,,,,
9,14:50:03,여권,0.9109,,,,
10,14:50:07,여권,0.9068,,,,
요약,,,,0.8988,0.8881,0.9109,0.0067
