회차,측정시각,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,2025-12-16 16:48:03,0.3875,,,,
2,2025-12-16 16:48:21,0.5048,,,,
3,2025-12-16 16:48:38,0.4212,,,,
4,2025-12-16 16:48:55,0.4021,,,,
5,2025-12-16 16:49:12,0.4112,,,,
6,2025-12-16 16:49:29,0.3644,,,,
7,2025-12-16 16:49:46,0.4975,,,,
8,2025-12-16 16:50:03,0.3799,,,,
9,2025-12-16 16:50:20,0.4242,,,,
10,2025-12-16 16:50:37,0.422,,,,
통계,-,,0.4215,0.3644,0.5048,0.044
