회차,상태,측정시간,앱실행반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-15 13:49:50,2.2618,,,,
2,성공,2025-12-15 13:49:56,2.0251,,,,
3,성공,2025-12-15 13:50:02,2.0386,,,,
4,성공,2025-12-15 13:50:08,1.9788,,,,
5,성공,2025-12-15 13:50:14,2.0117,,,,
6,성공,2025-12-15 13:50:20,2.1430,,,,
7,성공,2025-12-15 13:50:26,2.0986,,,,
8,성공,2025-12-15 13:50:32,1.9876,,,,
9,성공,2025-12-15 13:50:38,2.0752,,,,
10,성공,2025-12-15 13:50:44,2.1915,,,,
통계,,,,2.0812,1.9788,2.2618,0.0883
