회차,상태,측정시간,검색반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-15 14:35:41,1.9058,,,,
2,성공,2025-12-15 14:35:51,1.8883,,,,
3,성공,2025-12-15 14:36:01,1.8909,,,,
4,성공,2025-12-15 14:36:12,1.9018,,,,
5,성공,2025-12-15 14:36:22,1.8771,,,,
6,성공,2025-12-15 14:36:32,1.9146,,,,
7,성공,2025-12-15 14:36:42,1.9363,,,,
8,성공,2025-12-15 14:36:52,1.8964,,,,
9,성공,2025-12-15 14:37:03,1.9056,,,,
10,성공,2025-12-15 14:37:13,1.9165,,,,
통계,,,,1.9033,1.8771,1.9363,0.0159
