회차,상태,측정시간,검색반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-15 14:40:50,2.9651,,,,
2,성공,2025-12-15 14:41:21,3.0725,,,,
3,성공,2025-12-15 14:41:53,2.8556,,,,
4,성공,2025-12-15 14:42:24,3.1365,,,,
5,성공,2025-12-15 14:42:57,3.0308,,,,
6,성공,2025-12-15 14:43:31,3.1944,,,,
7,성공,2025-12-15 14:44:06,3.0271,,,,
8,성공,2025-12-15 14:44:40,3.2796,,,,
9,성공,2025-12-15 14:45:15,3.0979,,,,
10,성공,2025-12-15 14:45:50,3.3627,,,,
통계,,,,3.1022,2.8556,3.3627,0.1415
