회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 11:15:54,0.7391,,,,
2,성공,2025-12-16 11:16:25,0.4153,,,,
3,성공,2025-12-16 11:16:54,0.4238,,,,
4,성공,2025-12-16 11:17:23,0.4162,,,,
5,성공,2025-12-16 11:17:53,0.3638,,,,
6,성공,2025-12-16 11:18:21,0.4285,,,,
7,성공,2025-12-16 11:18:50,0.4138,,,,
8,성공,2025-12-16 11:19:20,0.4803,,,,
9,성공,2025-12-16 11:19:49,0.4273,,,,
10,성공,2025-12-16 11:20:19,0.3851,,,,
통계,,,,0.4493,0.3638,0.7391,0.1007
