회차,소요시간(초)
1,2.5839884281158447
2,2.7609145641326904
3,3.7071139812469482
4,2.53367280960083
5,2.0336813926696777
6,2.8157310485839844
7,3.3683650493621826
8,3.3348469734191895
9,2.233752965927124
10,2.7002809047698975
평균,2.8072
최소,2.0337
최대,3.7071
표준편차,0.5237
