회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-15 14:10:05,3.2436,,,,
2,성공,2025-12-15 14:11:11,3.3744,,,,
3,성공,2025-12-15 14:12:19,2.8879,,,,
4,성공,2025-12-15 14:13:29,1.8529,,,,
5,성공,2025-12-15 14:14:37,1.8566,,,,
6,성공,2025-12-15 14:16:49,2.3834,,,,
7,성공,2025-12-15 14:18:13,1.8676,,,,
8,성공,2025-12-15 14:19:35,2.4465,,,,
9,성공,2025-12-15 14:21:03,2.4803,,,,
10,성공,2025-12-15 14:22:31,2.3916,,,,
통계,,,,2.4785,1.8529,3.3744,0.5220
