회차,측정시각,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,2025-12-04 14:39,1.7761,,,,
2,2025-12-04 14:39,1.5188,,,,
3,2025-12-04 14:40,1.5906,,,,
4,2025-12-04 14:40,1.9368,,,,
5,2025-12-04 14:41,1.4482,,,,
6,2025-12-04 14:42,1.5446,,,,
7,2025-12-04 14:42,1.5421,,,,
8,2025-12-04 14:43,1.6577,,,,
9,2025-12-04 14:43,,,,,
10,2025-12-04 14:44,,,,,
요약,,,1.6269,1.4482,1.9368,0.1595
