회차,상태,측정시간,앱실행반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 14:58:50,2.6387,,,,
2,성공,2025-12-16 14:58:57,2.4707,,,,
3,성공,2025-12-16 14:59:04,2.4647,,,,
4,성공,2025-12-16 14:59:10,2.8211,,,,
5,성공,2025-12-16 14:59:18,2.8148,,,,
6,성공,2025-12-16 14:59:25,2.8441,,,,
7,성공,2025-12-16 14:59:32,2.7037,,,,
8,성공,2025-12-16 14:59:39,2.9762,,,,
9,성공,2025-12-16 14:59:46,2.6404,,,,
10,성공,2025-12-16 14:59:53,2.8644,,,,
통계,,,,2.7239,2.4647,2.9762,0.1617
