회차,상태,측정시간,검색반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 13:50:22,1.7540,,,,
2,성공,2025-12-16 13:50:33,1.6177,,,,
3,성공,2025-12-16 13:50:44,1.7060,,,,
4,성공,2025-12-16 13:50:55,1.7516,,,,
5,성공,2025-12-16 13:51:07,1.6978,,,,
6,성공,2025-12-16 13:51:18,1.7247,,,,
7,성공,2025-12-16 13:51:30,1.9413,,,,
8,성공,2025-12-16 13:51:42,1.9732,,,,
9,성공,2025-12-16 13:51:54,1.6939,,,,
10,성공,2025-12-16 13:52:06,2.0084,,,,
통계,,,,1.7869,1.6177,2.0084,0.1287
