회차,상태,측정시간,검색반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 13:22:39,1.0208,,,,
2,성공,2025-12-16 13:23:02,0.9484,,,,
3,성공,2025-12-16 13:23:26,0.9218,,,,
4,성공,2025-12-16 13:23:51,1.0354,,,,
5,성공,2025-12-16 13:24:17,1.0352,,,,
6,성공,2025-12-16 13:24:41,0.9131,,,,
7,성공,2025-12-16 13:25:07,1.2116,,,,
8,성공,2025-12-16 13:25:32,1.2136,,,,
9,성공,2025-12-16 13:25:57,1.1095,,,,
10,성공,2025-12-16 13:26:23,1.0172,,,,
통계,,,,1.0427,0.9131,1.2136,0.1019
