회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 14:30:02,0.6756,,,,
2,성공,2025-12-16 14:30:39,0.8612,,,,
3,성공,2025-12-16 14:31:16,0.8934,,,,
4,성공,2025-12-16 14:31:54,0.7176,,,,
5,성공,2025-12-16 14:32:30,0.7722,,,,
6,성공,2025-12-16 14:33:09,0.6961,,,,
7,성공,2025-12-16 14:33:46,0.6287,,,,
8,성공,2025-12-16 14:34:23,0.8627,,,,
9,성공,2025-12-16 14:35:00,0.7713,,,,
10,성공,2025-12-16 14:35:38,0.8668,,,,
통계,,,,0.7746,0.6287,0.8934,0.0885
