회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-10 16:22:33,1.3119,,,,
2,성공,2025-12-10 16:23:30,1.1970,,,,
3,성공,2025-12-10 16:24:21,1.2073,,,,
4,성공,2025-12-10 16:25:09,1.2278,,,,
5,성공,2025-12-10 16:26:17,1.1947,,,,
6,성공,2025-12-10 16:27:07,1.2298,,,,
7,성공,2025-12-10 16:27:56,1.2301,,,,
8,성공,2025-12-10 16:28:48,1.2596,,,,
9,성공,2025-12-10 16:29:38,1.1957,,,,
10,성공,2025-12-10 16:30:26,1.1834,,,,
통계,,,,1.2237,1.1834,1.3119,0.0366
