회차,상태,측정시간,검색반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-15 14:48:26,3.6360,,,,
2,성공,2025-12-15 14:48:39,3.6163,,,,
3,성공,2025-12-15 14:48:52,3.7425,,,,
4,성공,2025-12-15 14:49:06,3.5784,,,,
5,성공,2025-12-15 14:49:19,3.6697,,,,
6,성공,2025-12-15 14:49:32,3.5064,,,,
7,성공,2025-12-15 14:49:45,3.6395,,,,
8,성공,2025-12-15 14:49:59,3.5864,,,,
9,성공,2025-12-15 14:50:12,3.6452,,,,
10,성공,2025-12-15 14:50:25,3.7099,,,,
통계,,,,3.6330,3.5064,3.7425,0.0640
