회차,측정시각,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,2025-12-04 14:34,1.181,,,,
2,2025-12-04 14:34,1.1604,,,,
3,2025-12-04 14:34,1.0948,,,,
4,2025-12-04 14:35,1.0735,,,,
5,2025-12-04 14:35,1.1063,,,,
6,2025-12-04 14:35,1.0719,,,,
7,2025-12-04 14:35,1.0873,,,,
8,2025-12-04 14:36,1.2417,,,,
9,2025-12-04 14:36,1.0864,,,,
10,2025-12-04 14:36,1.0513,,,,
요약,-,1.1155,1.1155,1.0513,1.2417,0.056722539
