회차,상태,측정시간,앱실행반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,14:03:09,7.6494,,,,
2,성공,14:03:21,7.6695,,,,
3,성공,14:03:33,7.6499,,,,
4,성공,14:03:44,7.6951,,,,
5,성공,14:03:56,7.6425,,,,
6,성공,14:04:08,7.6811,,,,
7,성공,14:04:20,7.7167,,,,
8,성공,14:04:31,7.6256,,,,
9,성공,14:04:43,7.6444,,,,
10,성공,14:04:55,8.1508,,,,
통계,,,,7.7125,7.6256,8.1508,0.1484
