회차,상태,측정시간,앱실행반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 14:53:13,0.9974,,,,
2,성공,2025-12-16 14:53:18,1.0303,,,,
3,성공,2025-12-16 14:53:24,1.0621,,,,
4,성공,2025-12-16 14:53:30,0.9973,,,,
5,성공,2025-12-16 14:53:36,0.9933,,,,
6,성공,2025-12-16 14:53:42,0.8516,,,,
7,성공,2025-12-16 14:53:47,0.8604,,,,
8,성공,2025-12-16 14:53:53,0.9656,,,,
9,성공,2025-12-16 14:53:58,0.9724,,,,
10,성공,2025-12-16 14:54:04,1.0018,,,,
통계,,,,0.9732,0.8516,1.0621,0.0641
