회차,상태,측정시간,앱실행반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 16:09:35,6.6434,,,,
2,성공,2025-12-16 16:09:45,6.8991,,,,
3,성공,2025-12-16 16:09:55,6.9184,,,,
4,성공,2025-12-16 16:10:05,6.6307,,,,
5,성공,2025-12-16 16:10:16,6.9050,,,,
6,성공,2025-12-16 16:10:26,6.8914,,,,
7,성공,2025-12-16 16:10:36,6.9108,,,,
8,성공,2025-12-16 16:10:47,6.8950,,,,
9,성공,2025-12-16 16:10:57,6.9006,,,,
10,성공,2025-12-16 16:11:08,6.9105,,,,
통계,,,,6.8505,6.6307,6.9184,0.1070
