회차,상태,측정시간,앱실행반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 16:11:29,1.7834,,,,
2,성공,2025-12-16 16:11:34,1.7710,,,,
3,성공,2025-12-16 16:11:39,1.6740,,,,
4,성공,2025-12-16 16:11:44,1.7011,,,,
5,성공,2025-12-16 16:11:50,1.6968,,,,
6,성공,2025-12-16 16:11:55,1.7043,,,,
7,성공,2025-12-16 16:12:00,1.7607,,,,
8,성공,2025-12-16 16:12:05,1.7514,,,,
9,성공,2025-12-16 16:12:11,1.7464,,,,
10,성공,2025-12-16 16:12:16,1.7763,,,,
통계,,,,1.7365,1.6740,1.7834,0.0370
