회차,상태,측정시간,앱실행반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-16 16:16:23,3.4577,,,,
2,성공,2025-12-16 16:16:30,3.3264,,,,
3,성공,2025-12-16 16:16:37,3.3474,,,,
4,성공,2025-12-16 16:16:44,3.3536,,,,
5,성공,2025-12-16 16:16:51,3.3814,,,,
6,성공,2025-12-16 16:16:58,3.5220,,,,
7,성공,2025-12-16 16:17:05,3.3979,,,,
8,성공,2025-12-16 16:17:11,3.3163,,,,
9,성공,2025-12-16 16:17:18,3.3249,,,,
10,성공,2025-12-16 16:17:25,3.3544,,,,
통계,,,,3.3782,3.3163,3.5220,0.0624
