회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-10 15:59:15,1.8005,,,,
2,성공,2025-12-10 15:59:55,1.8140,,,,
3,성공,2025-12-10 16:00:37,1.8158,,,,
4,성공,2025-12-10 16:01:15,1.7677,,,,
5,성공,2025-12-10 16:01:54,1.8246,,,,
6,성공,2025-12-10 16:02:33,1.9265,,,,
7,성공,2025-12-10 16:03:12,6.6958,,,,
8,성공,2025-12-10 16:03:56,1.7854,,,,
9,성공,2025-12-10 16:04:35,1.7245,,,,
10,성공,2025-12-10 16:05:14,1.7607,,,,
통계,,,,2.2916,1.7245,6.6958,1.4690
