회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-10 15:39:18,1.5736,,,,
2,성공,2025-12-10 15:39:56,2.5135,,,,
3,성공,2025-12-10 15:40:36,2.4923,,,,
4,성공,2025-12-10 15:41:16,5.1042,,,,
5,성공,2025-12-10 15:41:59,2.4610,,,,
6,성공,2025-12-10 15:42:39,2.5309,,,,
7,성공,2025-12-10 15:43:19,2.4895,,,,
8,성공,2025-12-10 15:44:00,2.4909,,,,
9,성공,2025-12-10 15:44:40,5.0482,,,,
10,성공,2025-12-10 15:45:22,5.0656,,,,
통계,,,,3.1770,1.5736,5.1042,1.2703
