회차,상태,측정시간,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-10 15:25:08,1.7859,,,,
2,성공,2025-12-10 15:25:40,1.7325,,,,
3,성공,2025-12-10 15:26:11,1.8996,,,,
4,성공,2025-12-10 15:26:42,1.6858,,,,
5,성공,2025-12-10 15:27:13,1.6922,,,,
6,성공,2025-12-10 15:27:45,1.8380,,,,
7,성공,2025-12-10 15:28:16,1.6811,,,,
8,성공,2025-12-10 15:28:45,2.0782,,,,
9,성공,2025-12-10 15:29:15,1.7111,,,,
10,성공,2025-12-10 15:29:48,1.7417,,,,
통계,,,,1.7846,1.6811,2.0782,0.1188
