회차,측정시각,로그인반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,2025-12-17 08:56:07,0.2167,,,,
2,2025-12-17 08:56:33,0.1804,,,,
3,2025-12-17 08:56:55,0.1795,,,,
4,2025-12-17 08:57:18,0.2058,,,,
5,2025-12-17 08:57:40,0.1843,,,,
6,2025-12-17 08:58:20,0.1581,,,,
7,2025-12-17 08:58:42,0.2181,,,,
8,2025-12-17 08:59:05,0.2726,,,,
9,2025-12-17 08:59:28,0.1786,,,,
10,2025-12-17 08:59:51,0.2035,,,,
요약,,,0.1998,0.1581,0.2726,0.0319
