회차,상태,측정시간,앱실행반응속도(초),평균(초),최소(초),최대(초),표준편차(초)
1,성공,2025-12-15 13:58:30,4.9242,,,,
2,성공,2025-12-15 13:58:38,4.6982,,,,
3,성공,2025-12-15 13:58:45,4.8768,,,,
4,성공,2025-12-15 13:58:53,4.8624,,,,
5,성공,2025-12-15 13:59:01,4.7764,,,,
6,성공,2025-12-15 13:59:09,4.7603,,,,
7,성공,2025-12-15 13:59:17,4.9841,,,,
8,성공,2025-12-15 13:59:25,5.0512,,,,
9,성공,2025-12-15 13:59:33,4.6795,,,,
10,성공,2025-12-15 13:59:41,4.8530,,,,
통계,,,,4.8466,4.6795,5.0512,0.1141
